0.00014289 0.000227264 9.88131e-324 3894.19 1.32861e-05 | 271 2
0.000508974 0.000157655 9.88131e-324 3671.26 1.91652e-05 | 272 2
0.000386719 0.000490246 9.88131e-324 3705.42 9.6298e-06 | 273 2
0.000114165 0.000187571 9.88131e-324 3894.19 1.62653e-05 | 274 2
0.000660091 5.43647e-05 9.88131e-324 3595.15 1.77836e-05 | 275 2
0.000458882 0.00126343 9.88131e-324 4196.5 8.0898e-06 | 276 2
0.000475047 0.000303698 9.88131e-324 3678.94 1.34341e-05 | 277 2
0.000882057 3.99136e-05 9.88131e-324 3509.31 7.5152e-06 | 278 2
0.000105871 0.000580294 9.88131e-324 4238.82 1.31154e-05 | 279 2
0.000379831 3.36409e-05 9.88131e-324 3681 1.58849e-05 | 280 2
0.00047873 0.000658145 9.88131e-324 3709.99 1.98005e-05 | 281 2
0.000411266 0.000655701 9.88131e-324 3722.91 7.5003e-06 | 282 2
0.00102569 2.86709e-05 9.88131e-324 3383.41 1.62676e-05 | 283 2
0.000303897 0.00108273 9.88131e-324 4183.76 1.96012e-05 | 284 2
0.000753354 0.000317035 9.88131e-324 3501.11 1.21301e-05 | 285 2
0.000715096 0.000234281 9.88131e-324 3596.64 7.83201e-06 | 286 2
0.000579475 0.00076984 9.88131e-324 3987.98 1.73524e-05 | 287 2
0.000391754 4.31132e-06 9.88131e-324 3672.18 1.35229e-06 | 288 2
0.000614373 0.000115568 9.88131e-324 3637.71 1.11506e-05 | 289 2
0.000766135 0.000683142 9.88131e-324 3710.41 2.52714e-05 | 290 2
0.001625 0.00065 1.4822e-323 0 1e+11 | 291 3
